bin_low,bin_high,q2,y,sigma,true_charm,true_smooth
1.1,1.53125,1.315625,0.45195993880497976,0.15,0.3532785599952618,0.04684375
1.53125,1.9625000000000001,1.7468750000000002,0.49926266770683064,0.15,0.3334886961816569,0.04253125
1.9625000000000001,2.3937500000000003,2.178125,0.3992339127907034,0.15,0.3114496013631953,0.03821875
2.3937500000000003,2.825,2.609375,0.1251838108142459,0.15,0.28675114555490006,0.03390625
2.825,3.25625,3.0406250000000004,0.42427348490559874,0.15,0.2588763549046311,0.02959375
3.25625,3.6875000000000004,3.4718750000000003,0.31940146246415024,0.15,0.22716402660954857,0.025281249999999998
3.6875000000000004,4.11875,3.903125,0.13118017722732941,0.15,0.19075441253137218,0.020968749999999998
4.11875,4.550000000000001,4.3343750000000005,0.25233224047426933,0.15,0.14850827484481638,0.016656249999999994
4.550000000000001,4.98125,4.765625,0.16591230483067101,0.15,0.09888269540275965,0.01234375
4.98125,5.4125,5.196875,0.0918851151194344,0.15,0.039733990621105504,0.008031249999999997
5.4125,5.84375,5.628125,-0.024025612206647028,0.15,-0.03200769840401655,0.003718750000000002
5.84375,6.275,6.059375,-0.03948847350595347,0.15,-0.12090167149782051,-0.0005937500000000018
6.275,6.706250000000001,6.4906250000000005,-0.3494034844906181,0.15,-0.23402912144036805,-0.004906250000000005
6.706250000000001,7.137500000000001,6.921875000000001,-0.4166802099227312,0.15,-0.38302496772377326,-0.00921875000000001
7.137500000000001,7.56875,7.353125,-0.674305537848674,0.15,-0.5884563909466772,-0.013531250000000003
7.56875,8.0,7.784375,-0.8184847261013981,0.15,-0.8904679079965921,-0.01784375
